Designator,Mid X,Mid Y,Rotation,Layer
D1,76.2,-104.775,90.0,top
D10,85.725,-161.925,90.0,top
D11,114.3,-161.925,90.0,top
D12,133.35,-153.3525,90.0,top
D13,133.35,-114.3,90.0,top
D14,76.2,-85.725,90.0,top
D15,95.25,-85.725,90.0,top
D16,114.3,-85.725,90.0,top
D17,133.35,-85.725,90.0,top
D18,157.1625,-161.925,90.0,top
D19,76.2,-61.9125,90.0,top
D2,95.25,-104.775,90.0,top
D20,95.25,-61.9125,90.0,top
D21,114.3,-61.9125,90.0,top
D22,138.1125,-58.57875,270.0,top
D23,133.35,-61.9125,90.0,top
D24,138.1125,-84.7725,270.0,top
D25,138.1125,-110.96625,270.0,top
D26,157.1625,-142.875,90.0,top
D27,66.675,-71.4375,0.0,top
D28,85.725,-71.4375,0.0,top
D29,104.775,-71.4375,0.0,top
D3,114.3,-104.775,90.0,top
D30,123.825,-71.4375,0.0,top
D31,147.6375,-73.81875,0.0,top
D32,147.6375,-99.1375,0.0,top
D33,123.825,-94.375,0.0,top
D34,104.775,-94.375,0.0,top
D35,85.725,-94.375,0.0,top
D36,66.675,-94.375,0.0,top
D37,66.675,-113.425,0.0,top
D38,85.725,-113.425,0.0,top
D39,105.40625,-113.425,0.0,top
D4,76.2,-123.825,90.0,top
D40,123.825,-122.95,0.0,top
D41,147.6375,-125.33125,0.0,top
D42,66.675,-132.475,0.0,top
D43,85.725,-133.35,0.0,top
D44,104.775,-133.35,0.0,top
D45,66.675,-152.4,0.0,top
D46,85.725,-152.4,0.0,top
D47,104.775,-152.4,0.0,top
D48,123.825,-161.925,0.0,top
D49,76.2,-170.71975,0.0,top
D5,95.25,-123.825,90.0,top
D50,104.775,-170.71975,0.0,top
D51,147.80625,-152.4,0.0,top
D52,147.6375,-170.575,0.0,top
D6,114.3,-121.44375,90.0,top
D7,76.2,-142.875,90.0,top
D8,95.25,-142.875,90.0,top
D9,114.3,-142.875,90.0,top
J2,97.7825,-72.56875,90.0,bottom
S1,66.675,-104.775,0.0,top
S10,76.2,-161.925,0.0,top
S11,104.775,-161.925,0.0,top
S12,123.825,-152.4,0.0,top
S13,123.825,-114.3,0.0,top
S14,66.675,-85.725,0.0,top
S15,85.725,-85.725,0.0,top
S16,104.775,-85.725,0.0,top
S17,123.825,-85.725,0.0,top
S18,147.6375,-161.925,0.0,top
S19,66.675,-61.9125,0.0,top
S2,85.725,-104.775,0.0,top
S20,85.725,-61.9125,0.0,top
S21,104.775,-61.9125,0.0,top
S22,123.825,-61.9125,0.0,top
S23,147.6375,-142.875,0.0,top
S3,104.775,-104.775,0.0,top
S4,66.675,-123.825,0.0,top
S5,85.725,-123.825,0.0,top
S6,104.775,-123.825,0.0,top
S7,66.675,-142.875,0.0,top
S8,85.725,-142.875,0.0,top
S9,104.775,-142.875,0.0,top
SW1,147.6375,-61.9125,270.0,top
SW2,147.6375,-88.10625,270.0,top
SW3,147.6375,-114.3,270.0,top
SW4,75.33125,-73.81875,0.0,bottom
SW5,83.34375,-52.3875,0.0,top
U1,66.675,-67.32875,0.0,bottom
